BSc (Hons) in Biomedical ScienceUGC Approved - Offered By NSBM,Science,"Pitipana - Thalagala Rd, Homagama",Degree,4 YEARS,FULL -,NSBM,https://www.nsbm.ac.lk/course/bsc-honours-in-biomedical-science/
"BSc (Hons) Psychology University of Plymouth, UK",Science,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-psychology/
"BSc (Hons) NursingUniversity of Plymouth, UK",Science,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-nursing/
"BSc (Hons) Biomedical ScienceUniversity of Plymouth, UK",Science,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-hons-biomedical-science/
"BSc (Hons) Nursing – Top up University of Plymouth, UK",Science,"Pitipana - Thalagala Rd, Homagama",Degree,1 Year (Weekend),Part Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-hons-nursing-top-up/
BSc (Hons) in Public Health and NutritionUGC Approved - Offered By NSBM,Science,"Pitipana - Thalagala Rd, Homagama",Degree,4 YEARS,FULL -,NSBM,https://www.nsbm.ac.lk/course/bsc-honours-public-health-and-nutrition/
Foundation Programme for Bachelor’s DegreeBusiness / Computing / Science ,Science,"Pitipana - Thalagala Rd, Homagama",Foundation,1 year,Full Time,NSBM,https://www.nsbm.ac.lk/course/foundation-programme-for-bachelors-degree/
