BSc (Hons) Quantity Surveying & Commercial Management,Engineering, Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/quantity-surveying-and-commercial-management/
Bachelor of Business Analytics,Computing,Engineering, Colombo / , Degree ,https://www.nibm.lk/programmes/bachelor-of-business-analytics-2/
Bachelor of Civil Engineering,Engineering, Colombo / , Degree ,Full-Time,https://www.nibm.lk/programmes/bachelor-of-civil-engineering/
Bachelor of Construction Management,Engineering, Colombo / , Degree ,Full-Time,https://www.nibm.lk/programmes/bachelor-of-construction-management/
Higher National Diploma in Electro-Mechanical Engineering,Engineering, Colombo / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-electro-mechanical-engineering/
